community_board,garden_name,address,size,neighborhood_name,latitude,longitude,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,avg_org_value,avg_rev_value,avg_tot_appropriated
X06,Concerned Tenants of Daly Avenue,2139 Daly Avenue,0.179,NA,40.845582,-73.880943,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
B04,Contented Hart Garden,1475 Bushwick Avenue,0.057,Bushwick,40.683411,-73.907424,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
B04,Cooper Street Block Buster Block Association.,41 Cooper Street,0.16,Bushwick,40.684528,-73.910541,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
B04,Cooper Street Gardeners,34 Cooper Street,0.078,NA,40.684311,-73.910725,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
Q04,Corona Taxpayers Association,52-02 102nd  Street,0.18,Corona,40.741788,-73.859801,Queens,Elmhurst and Corona,188107,6,5,36,51,1,21,9,33,25,11,81,30,42,28,27,62,23,27,85.6,68,1968289.862244898,1976038.2908163266,124000
X01,Courtlandt Avenue Association,364-366 East 158th Street,0.171,Melrose,40.822689,-73.91614,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
M03,Creative Little Garden,530 East 6th Street,0.06,East Village,40.72511,-73.983119,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
X05,Creston Jungle Playground,2242 Creston Avenue,NA,NA,40.856775,-73.901518,Bronx,Fordham and University Heights,136151,1,27,2,69,1,28,12,29,23,8,66,34,46,20,34,65,34,37,79.9,67,1281900,1281900,206500
B05,Crystal Street Block Association Community Garden,Crystal Street,0.344,East New York,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
Q14,Culinary Kids Garde (Seagirt Community Garden),3003 Seagirt Boulevard.,0.138,Far Rockaway,40.595964,-73.763133,Queens,Rockaway and Broad Channel,114390,33,40,3,22,2,26,8,25,26,14,71,22,43,35,18,53,32,34,76.5,75,3423594.900763359,3686362.809160305,288166.6666666667
Q12,"Curtis ""50 Cent"" Jackson Community Garden",11709 165th Street,0.083,NA,40.684574,-73.78111,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
B02,David Foulke Community Garden,248-250 Bergen Street,0.073,Boerum Hill,40.684364,-73.984438,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
X07,Davidson Avenue Community Garden,2385 Davidson Avenue,0.115,NA,40.861379,-73.903254,Bronx,Kingsbridge Heights and Bedford,148163,6,18,7,67,1,26,11,31,23,9,70,32,45,23,26,61,33,35,79.4,67,3740352.3928571427,3729102.3928571427,350000
M03,De Colores Community Garden,311-313 E 8th Street,0.066,East Village,40.725296,-73.979821,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B04,Decatur Street Community Garden,1052 Decatur Street,0.057,NA,40.685985,-73.910265,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
X02,Demera/Santiago Garden,941-943 Avenue St. John,0.126,NA,40.815229,-73.902569,Bronx,Hunts Point and Longwood,56144,1,21,1,76,1,28,12,29,21,10,58,41,43,16,29,58,42,38,78.9,72,593876.6363636364,604940.2727272727,265000
M11,Diamante Garden (Block and School Association),306-310 East 118th Street,0.186,East Harlem,40.798107,-73.936371,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M03,Dias y Flores,520-522 East 13th Street,0.119,East Village,40.729306,-73.979885,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M12,Dorothy K. McGowan Memorial Garden,513 W 158th Street,0.045,Washington Heights,40.833766,-73.942217,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,1959184,1959458.2051282052,305833.3333333333
M11,Dream Street Park,223 - 231 E. 124 St.,0.252,NA,40.802742,-73.935612,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X04,Dred Scott Bird Sanctuary Garden and Park,E 169th Street,0.473,NA,NA,NA,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
X06,Drew Garden - I.S. 167,East Tremont Avenue,NA,NA,NA,NA,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
Q12,Dunton Block and Civic Association. Inc.,Remington Street,0.551,NA,NA,NA,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
M12,Dyckman Valley School - P.S. 152,93 Nagle Avenue,0.09,NA,40.860412,-73.927936,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,1959184,1959458.2051282052,305833.3333333333
M03,Earth People,333-335 East 8th Street,0.106,East Village,40.725022,-73.979172,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M03,Earth School - P.S.64,600 East 6th Street,0.271,East Village,40.72438,-73.98138,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M11,East 103rd Street Community Garden,105 E 103rd Street,NA,NA,40.790817,-73.948859,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X01,East 143rd Street Community Garden (Bronx Community & Cultural Garden or North Church Garden),401 E 143rd Street,0.208,NA,40.812172,-73.920336,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
B06,East 4th St. Com. Gar.(Windsor Terrace Kensington Veterans Mem.),171 E 4th Street,0.057,Kensington,40.648198,-73.977358,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
B05,East End Community Garden,530-2 Glenmore Avenue / 260 Van Siclen Avenue,0.161,East New York,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M11,East Harlem Community Garden,429-433 East 117th Street,0.142,East Harlem,40.796357,-73.934119,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
B09,Eastern Parkway Coalition,"Eastern Pkwy.,W/O Franklin",0.44,Crown Heights,NA,NA,Brooklyn,South Crown Heights and Lefferts Gardens,98650,18,69,2,9,2,22,9,30,25,14,77,16,48,35,22,55,32,37,81.2,78,1137490.8153846154,1146408.8153846154,202500
M09,Edgecomb Avenue Garden Park Sanctuary,339-341 Edgecomb Avenue,0.112,NA,40.826462,-73.941811,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,12759603.857142856,12786290.057142857,265000
X03,Edith Community Garden (830 Elton Tnts. Assoc.),836 Elton Avenue,0.116,Melrose,40.8227,-73.912729,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
M10,Edward P. Bowman Park,52 W 129th Street,0.046,West Harlem,40.809753,-73.94231,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
X01,El Batey Borincano,811-815 Eagle Avenue,0.17,"
Melrose",40.820573,-73.909101,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
X06,El Batey de Dona Provi,504 East 178th Street,0.13,NA,40.847974,-73.896315,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
M11,El CataÃ±o Garden,169 East 110th Street,0.057,East Harlem,40.794391,-73.9434,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X01,El Flamboyan,Tinton Avenue,0.402,NA,NA,NA,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
X01,El Girasol,624-638 East 138th Street,0.085,NA,40.806094,-73.915774,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
X01,El Girasol,624-638 East 138th Street,0.085,NA,40.806094,-73.915774,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
M03,El Jardin del Paraiso,706-718 East 5th Street /311-321 East 4th Street,0.73,East Village,NA,NA,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B01,El Puente: EspÃ­ritu Tierra Community Garden,203-207 South 2nd Street,0.23,Williamsburg,40.712385,-73.959633,Brooklyn,Greenpoint and Williamsburg,199190,61,5,6,26,2,23,10,41,17,9,77,17,33,50,17,48,23,25,81.1,79,576375.8551461245,656460.7420584498,321444.44444444444
M03,El Sol Brillante Jr.,537 East 12th Street,0.059,East Village,40.728694,-73.980372,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
M10,Elizabeth Langley Memorial Garden,121-123 West 137th Street,0.11,Central Harlem,40.815768,-73.940759,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B05,Elton Street Block Association,585 Elton Street,0.097,East New York,40.668638,-73.882081,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B05,Essex Street Community Fulton Street Garden (Fulton Street Community Garden),3030 Fulton Street,0.074,East New York,40.680441,-73.883066,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B05,Euclid 500 Block Association.,532 Euclid Avenue,0.181,East New York,40.673943,-73.871567,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B05,Euclid Pine Block Association,NA,0.071,East New York,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B03,F.A.R.R. Block Association,808 Herkimer Street,0.028,NA,40.678383,-73.926777,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B05,Family Community Garden - Brooklyn,793 Cleveland Street,0.275,East New York,40.665184000000004,-73.881518,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M11,Family Community Garden - Manhattan,156 East 111th Street,0.04,East Harlem,40.79527,-73.943572,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M11,Family Garden,431 East 114th Street,0.057,East Harlem,40.794189,-73.935108,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
X01,Family Group Garden,419 East 158th Street,0.101,Melrose,40.822053,-73.913995,Bronx,Mott Haven and Melrose,98403,1,24,1,73,1,28,12,28,21,10,62,41,43,16,29,58,42,38,77.6,72,1788515.6129032257,1769096.2580645161,453846.1538461539
B16,Fantasy Garden,181 Legion Street,0.23,Brownsville,40.664208,-73.917132,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
X06,Farm in the Bronx,East 182nd Street,0.188,NA,NA,NA,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
B16,Farmers Garden,1897-1905 Bergen Street,0.154,NA,40.674381,-73.91832,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
M03,Firemens Memorial Garden Inc.,358-364 E 8th Street,0.17,East Village,40.72447,-73.97791,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B03,First Quincy Street GreenThumb Garden,397-401 Quincy Street,0.13,NA,40.687717,-73.944139,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
M03,First Street Garden,48 East 1st Street,0.061,NA,40.72384,-73.989772,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B05,First Temple of David,494 Bradford Street,0.062,East New York,40.666585,-73.890635,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
M01,FishBridge Pk. (South-Water-Front Neigh. Assoc.),338-340 Pearl Street,0.1,Downtown Manhattan,40.709257,-74.00198,Manhattan,Financial District,63383,64,3,21,8,3,14,11,50,18,7,96,4,12,84,9,38,4,15,85.8,91,1382114.7047146403,1322203.1966501242,NA
M10,Five Star Block Association,250-252 West 121st Street,0.083,Harlem,40.807004,-73.951621,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B05,Floral Vineyard,2379-2385 Pitkin Avenue,0.107,East New York,40.673578,-73.884567,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
X07,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,NA,40.863711,-73.892599,Bronx,Kingsbridge Heights and Bedford,148163,6,18,7,67,1,26,11,31,23,9,70,32,45,23,26,61,33,35,79.4,67,3740352.3928571427,3729102.3928571427,350000
X07,Fordham Bedford Lot-Busters,2592-2597 Bainbridge Avenue,0.044,NA,40.863711,-73.892599,Bronx,Kingsbridge Heights and Bedford,148163,6,18,7,67,1,26,11,31,23,9,70,32,45,23,26,61,33,35,79.4,67,3740352.3928571427,3729102.3928571427,350000
M09,Frank White Memorial Garden,506-508 West 143rd Street,0.09,Hamilton Heights,40.824306,-73.949441,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,12759603.857142856,12786290.057142857,265000
X03,Franklin Memorial Garden,1060-1062 Cauldwell Avenue,0.12,Morrisania,40.826309,-73.905603,Bronx,Morrisania and Crotona,91601,1,37,1,60,1,29,12,28,22,9,63,36,45,19,31,60,36,32,76.2,69,463588.23529411765,514203.76470588235,NA
M07,Frederick Douglass Academy HS,2599 Adam Clayton Powell Jr Boulevard,0.197,NA,NA,NA,Manhattan,Upper West Side,214744,66,7,9,15,2,15,5,34,27,18,83,6,16,78,9,40,10,21,84.7,93,2592841.5122807017,2611023.3614035086,314375
M11,Friendly Garden,95 East 111th Street,0.076,East Harlem,40.796245,-73.945843,Manhattan,East Harlem,124323,12,30,6,50,2,21,10,33,23,13,67,25,37,38,23,48,28,34,77.3,76,784543.1194968553,960505.6100628931,368413.3333333333
M09,Friendship Garden (Lucille McClarey Garden),499 West 150th Street,0.038,Hamilton Heights,40.828638,-73.945842,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,12759603.857142856,12786290.057142857,265000
M10,Garden,Fredrick Douglas Blvd. and W. 152ns St,0.046,NA,NA,NA,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B03,Garden Beautiful,Corner of Broadway & Putnam Ave.,0.194,Bed-Stuy,NA,NA,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B03,Garden of Angels,978 Greene Avenue,0.057,Bed-Stuy,40.690966,-73.928771,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X04,Garden of Eden - Bronx,1686 Weeks Avenue,0.21,NA,40.844045,-73.907616,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
X06,Garden of Happiness,2156-2160 Prospect Avenue,0.33,Crotona,40.848425,-73.885543,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
B03,Garden of Hope,392 Hancock Street,0.046,NA,40.683685,-73.939967,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
X04,Garden of Life,1685 Weeks Avenue,0.18,NA,40.844009,-73.907641,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
M10,Garden of Love,302 West 116th Street,0.087,Upper West Side,40.804522,-73.955636,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,844122.5357142857,923161.4523809524,NA
B06,Garden of Union (Annie's Garden),"634-36, 640 Union Street",0.203,Park Slope,NA,NA,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
X06,Garden Of Youth,E 182nd Street,NA,Crotona,NA,NA,Bronx,Belmont and East Tremont,87476,6,25,1,67,1,29,14,28,20,9,61,36,45,19,31,60,36,32,77.7,69,1545195.8333333333,1628117.7333333334,175666.66666666666
M09,Garden People,West 91st and Riverside Drive,NA,NA,NA,NA,Manhattan,Morningside Heights and Hamilton Heights,111287,22,24,7,44,3,17,16,34,21,12,65,21,30,49,24,51,21,29,81.4,83,12759603.857142856,12786290.057142857,265000
M03,Generation X Cultural Garden,270-272 East 4th Street,0.11,East Village,40.722906,-73.981662,Manhattan,Lower East Side and Chinatown,171103,30,7,36,25,2,13,11,35,25,16,77,24,28,48,18,48,10,22,82.2,70,10921482.321637427,10924907.415204678,NA
B05,Genesis Homes Garden,298-304 Snediker Avenue,0.054,East New York,40.667834,-73.900611,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
Q12,George Eagle Carr Community Garden,148th Street,0.121,Jamaica,NA,NA,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
Q12,George Washington Carver Botanical Garden,109-13 156th Street,0.057,NA,40.692461,-73.794877,Queens,Jamaica and Hollis,232911,2,66,12,17,3,22,10,27,27,14,74,19,51,29,20,56,30,37,80.5,82,545464.6961538461,533962.0115384615,248142.85714285713
M12,George Washington High School,549 Audubon Avenue,NA,Washington Heights,40.855954,-73.927051,Manhattan,Washington Heights and Inwood,195830,17,7,3,72,1,19,10,33,25,13,68,29,33,38,20,53,26,28,84,68,1959184,1959458.2051282052,305833.3333333333
Q13,P.S. 251Q,144-51 144th Road,0.138,Springfield Gardens,NA,NA,Queens,Queens Village,193787,12,56,18,12,3,20,9,26,29,16,83,13,49,38,13,50,27,37,82.9,74,5823877.79403794,5823280.471544716,293797.5
B02,George Westinghouse HS - Marvin's Garden,"105 Johnson Street (Tech), Brooklyn, NY 11201",NA,Downtown Brooklyn,40.694926,-73.986015,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
B05,Georgia Avenue Community Garden,328 New Lots Avenue,0.036,East New York,40.661178,-73.894558,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B16,Gethsemane Garden,144 Newport Street,0.046,Brownsville,40.659215,-73.909847,Brooklyn,Brownsville,84525,1,76,1,20,2,28,11,27,23,12,65,27,52,21,28,57,41,33,75.1,79,1914727.2727272727,2039472.393939394,NA
B05,Glenmore Hendrix Block Assoc.,555 Glenmore Avenue,0.032,East New York,40.674105,-73.88988,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
X09,Glover Street Community Garden,"1642 Glover Street, Bronx NY 10462",NA,NA,NA,NA,Bronx,Parkchester and Soundview,184105,2,30,7,59,2,25,10,29,24,12,69,30,47,23,26,55,32,34,79.7,72,1902324.7391304348,1914136.3333333333,225000
B05,Good Shepherd's Community Group,555-557 Shepherd Avenue,0.114,East New York,40.670738,-73.879951,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B04,Goodwin Gardens,46 - 62 Goodwin St.,0.348,NA,NA,NA,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
B04,Granite Street Block Association,28-32 Granite Street,0.172,Bushwick,40.682511,-73.907811,Brooklyn,Bushwick,112388,9,20,5,65,1,24,12,35,20,9,70,35,37,29,25,55,26,26,80.4,71,556648.9047619047,601285.6031746032,326250
X04,Grant Avenue Garden,1062 Grant Avenue,0.058,NA,40.830303,-73.916893,Bronx,Highbridge and Concourse,155835,1,31,2,65,1,27,11,29,23,10,67,36,43,21,32,61,34,42,78.6,72,4404812.5,4471147.5,258000
B01,Green Dome,229 North 12th Street,NA,Greenpoint,40.719516,-73.952969,Brooklyn,Greenpoint and Williamsburg,199190,61,5,6,26,2,23,10,41,17,9,77,17,33,50,17,48,23,25,81.1,79,576375.8551461245,656460.7420584498,321444.44444444444
B05,Green Gems,947-953 Glenmore Avenue,0.494,East New York,40.676272,-73.875077,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B06,Green Space @ President Street,222 5th Avenue,0.045,Park Slope,40.676008,-73.980745,Brooklyn,Park Slope and Carroll Gardens,109351,63,10,6,17,4,18,5,46,20,10,77,9,17,74,10,37,15,22,81.4,88,1500580.4378378377,1465623.8513513512,182450
B03,Greene Avenue United Neighbors Association,490 Greene Avenue,0.046,NA,40.688329,-73.951722,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
Q02,"LIC Comm. Gardens, Inc.",S/S 49th Avenue./W/O Vernon Boulevard.,0.172,Long Island City,NA,NA,Queens,Woodside and Sunnyside,135972,26,2,35,34,2,17,8,39,24,12,86,19,35,45,20,51,20,23,85.4,79,7858116.826086956,7841677.009661836,319444.44444444444
B02,Greene Garden,2 South Portland Avenue,0.084,NA,40.689322,-73.975044,Brooklyn,Fort Greene and Brooklyn Heights,117046,46,27,9,14,4,15,9,44,20,12,75,11,25,64,12,39,24,25,80.6,86,2125094.788617886,2297045.4991869917,156000
B05,Gregory's Garden (P.S. 158 Memorial Garden),"444,448 Warwick Avenue",0.057,East New York,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
B03,Halsey Ralph and Howard Garden,774 Halsey St.,NA,NA,40.684918,-73.922702,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B03,Hancock T & T Block Association,322-324 Hancock Street,0.081,NA,40.683344,-73.942924,Brooklyn,Bedford Stuyvesant,152403,11,64,3,20,2,24,10,33,22,11,70,21,43,35,23,53,29,34,76.8,76,795790.75,771637.1694915254,210000
B05,Hands & Heart (New Lots Urban Farm),New Lots Avenue,NA,East New York,NA,NA,Brooklyn,East New York and Starrett City,181300,3,52,7,37,2,27,10,28,24,12,68,23,56,21,30,52,35,34,78.6,70,427860.47524752474,719763.7425742574,NA
